ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
-b2e745b0-b0d6-4788-ad60-8ea673eed507|Stingerback Terror // Stingerback Terror (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/b2e745b0-b0d6-4788-ad60-8ea673eed507/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Slawomir Maniak|11b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/11/stingerback-terror-stingerback-terror?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/2/b2e745b0-b0d6-4788-ad60-8ea673eed507.jpg?1714691251, FLIPID=b2e745b0-b0d6-4788-ad60-8ea673eed507}
52eb828d-8174-4916-a4d1-bc17fc60e626|Cactarantula // Cactarantula||Card|||<BR><a href="https://api.scryfall.com/cards/52eb828d-8174-4916-a4d1-bc17fc60e626/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Filip Burburan|12|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/12/cactarantula-cactarantula?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/2/52eb828d-8174-4916-a4d1-bc17fc60e626.jpg?1714691265, FLIPID=-52eb828d-8174-4916-a4d1-bc17fc60e626}
-52eb828d-8174-4916-a4d1-bc17fc60e626|Cactarantula // Cactarantula (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/52eb828d-8174-4916-a4d1-bc17fc60e626/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Filip Burburan|12b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/12/cactarantula-cactarantula?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/5/2/52eb828d-8174-4916-a4d1-bc17fc60e626.jpg?1714691265, FLIPID=52eb828d-8174-4916-a4d1-bc17fc60e626}
78d18a88-c224-473a-8f42-115aee150761|Hardbristle Bandit // Hardbristle Bandit||Card|||<BR><a href="https://api.scryfall.com/cards/78d18a88-c224-473a-8f42-115aee150761/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Francis Tneh|13|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/13/hardbristle-bandit-hardbristle-bandit?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/8/78d18a88-c224-473a-8f42-115aee150761.jpg?1714691286, FLIPID=-78d18a88-c224-473a-8f42-115aee150761}
-78d18a88-c224-473a-8f42-115aee150761|Hardbristle Bandit // Hardbristle Bandit (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/78d18a88-c224-473a-8f42-115aee150761/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Francis Tneh|13b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/13/hardbristle-bandit-hardbristle-bandit?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/7/8/78d18a88-c224-473a-8f42-115aee150761.jpg?1714691286, FLIPID=78d18a88-c224-473a-8f42-115aee150761}
2a2cde8c-1b6c-47f7-99a4-5d7ea81d1298|Outcaster Trailblazer // Outcaster Trailblazer||Card|||<BR><a href="https://api.scryfall.com/cards/2a2cde8c-1b6c-47f7-99a4-5d7ea81d1298/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Denys Tsiperko|14|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/14/outcaster-trailblazer-outcaster-trailblazer?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/a/2a2cde8c-1b6c-47f7-99a4-5d7ea81d1298.jpg?1714691298, FLIPID=-2a2cde8c-1b6c-47f7-99a4-5d7ea81d1298}
-2a2cde8c-1b6c-47f7-99a4-5d7ea81d1298|Outcaster Trailblazer // Outcaster Trailblazer (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/2a2cde8c-1b6c-47f7-99a4-5d7ea81d1298/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Denys Tsiperko|14b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/14/outcaster-trailblazer-outcaster-trailblazer?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/a/2a2cde8c-1b6c-47f7-99a4-5d7ea81d1298.jpg?1714691298, FLIPID=2a2cde8c-1b6c-47f7-99a4-5d7ea81d1298}
d3a558a2-b814-418b-8dc4-5a33b320353b|Spinewoods Paladin // Spinewoods Paladin||Card|||<BR><a href="https://api.scryfall.com/cards/d3a558a2-b814-418b-8dc4-5a33b320353b/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Kai Carpenter|15|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/15/spinewoods-paladin-spinewoods-paladin?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/3/d3a558a2-b814-418b-8dc4-5a33b320353b.jpg?1714691309, FLIPID=-d3a558a2-b814-418b-8dc4-5a33b320353b}
-d3a558a2-b814-418b-8dc4-5a33b320353b|Spinewoods Paladin // Spinewoods Paladin (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/d3a558a2-b814-418b-8dc4-5a33b320353b/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Kai Carpenter|15b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/15/spinewoods-paladin-spinewoods-paladin?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/3/d3a558a2-b814-418b-8dc4-5a33b320353b.jpg?1714691309, FLIPID=d3a558a2-b814-418b-8dc4-5a33b320353b}
ad12873f-06da-4d82-89bb-501b05c5e658|Akul the Unrepentant // Akul the Unrepentant||Card|||<BR><a href="https://api.scryfall.com/cards/ad12873f-06da-4d82-89bb-501b05c5e658/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Kekai Kotaki|16|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/16/akul-the-unrepentant-akul-the-unrepentant?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/d/ad12873f-06da-4d82-89bb-501b05c5e658.jpg?1714691323, FLIPID=-ad12873f-06da-4d82-89bb-501b05c5e658}
